Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Solusi Bangun Indonesia Tbk.,8/10/1977,9019381973,Utama,Basic Materials,1455,1.31E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ABBA,Century Textile Industry Tbk.,5/22/1979,70000000,Pengembangan,Consumer Cyclicals,282,19740000000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ABDA,Tifico Fiber Indonesia Tbk.,2/26/1980,4823076400,Pengembangan,Consumer Cyclicals,690,3.33E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ABMM,Goodyear Indonesia Tbk.,12/22/1980,410000000,Utama,Consumer Cyclicals,1305,5.35E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ACES,Merck Tbk.,7/23/1981,448000000,Pengembangan,Healthcare,5200,2.33E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ACST,Multi Bintang Indonesia Tbk.,12/15/1981,2107000000,Utama,Consumer Non-Cyclicals,9100,1.92E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADCP,Unilever Indonesia Tbk.,1/11/1982,38150000000,Utama,Consumer Non-Cyclicals,4640,1.77E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADES,Sepatu Bata Tbk.,3/24/1982,1300000000,Utama,Consumer Cyclicals,505,6.57E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADHI,Supreme Cable Manufacturing & ,7/20/1982,205583400,Utama,Industrials,8275,1.70E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADMF,Bank Pan Indonesia Tbk,12/29/1982,23837645998,Utama,Financials,2050,4.89E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADMG,Panin Financial Tbk.,6/14/1983,32022073293,Utama,Financials,505,1.62E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADMR,Paninvest Tbk.,9/20/1983,4068323920,Utama,Financials,1565,6.37E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ADRO,Delta Djakarta Tbk.,2/27/1984,800659050,Utama,Consumer Non-Cyclicals,3840,3.07E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AGAR,Jakarta International Hotels &,2/29/1984,2329040482,Pengembangan,Consumer Cyclicals,360,8.38E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AGII,Asuransi Bina Dana Arta Tbk.,7/6/1989,620806680,Pengembangan,Financials,6700,4.16E+12,11/1/2021 9:00,11/11/2022 15:59,4/16/2020 9:00,11/11/2022 16:00,4/16/2001,11/18/2022
AGRO,Hero Supermarket Tbk.,8/21/1989,4183634000,Utama,Consumer Non-Cyclicals,1610,6.74E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AGRS,Bakrie & Brothers Tbk,8/28/1989,21160865261,Pengembangan,Industrials,68,1.44E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AHAP,Maskapai Reasuransi Indonesia ,9/4/1989,517791681,Pengembangan,Financials,4060,2.10E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AIMS,United Tractors Tbk.,9/19/1989,3730135136,Utama,Industrials,28800,1.07E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AISA,Matahari Department Store Tbk.,10/9/1989,2626148780,Utama,Consumer Cyclicals,4980,1.31E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AKKU,Pakuwon Jati Tbk.,10/9/1989,48159602400,Utama,Properties & Real Estate,442,2.13E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AKPI,Asia Pacific Investama Tbk.,10/10/1989,7747281949,Utama,Consumer Cyclicals,56,4.34E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AKRA,Equity Development Investment ,10/23/1989,14230399705,Pengembangan,Financials,88,1.25E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AKSI,Japfa Comfeed Indonesia Tbk.,10/23/1989,11726575201,Utama,Consumer Non-Cyclicals,1355,1.59E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ALDO,Star Pacific Tbk,10/23/1989,1170432803,Pengembangan,Properties & Real Estate,282,3.30E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ALKA,Bayu Buana Tbk,10/30/1989,353220780,Pengembangan,Consumer Cyclicals,1150,4.06E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ALMI,Berlina Tbk.,11/6/1989,979110000,Pengembangan,Basic Materials,1100,1.08E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ALTO,Multipolar Tbk.,11/6/1989,15682323987,Utama,Industrials,140,2.20E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAG,Unggul Indah Cahaya Tbk.,11/6/1989,383331363,Utama,Basic Materials,10400,3.99E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAN,Astra Graphia Tbk.,11/15/1989,1348780500,Utama,Industrials,935,1.26E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMAR,Bank Maybank Indonesia Tbk.,11/21/1989,75357433911,Utama,Financials,244,1.84E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMFG,Citra Tubindo Tbk.,11/28/1989,800371500,Utama,Basic Materials,1690,1.35E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMIN,Asuransi Bintang Tbk.,11/29/1989,348386472,Pengembangan,Financials,496,1.73E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMMS,Bank CIMB Niaga Tbk.,11/29/1989,24880290775,Utama,Financials,1175,2.92E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AMOR,Indocement Tunggal Prakarsa Tb,12/5/1989,3681231699,Utama,Basic Materials,9900,3.64E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
